string_length;number_of_tries;hash_name;avg_time;collisions_ratio
1;100;md5;7.637995295226574e-06;0
1;100;sha256;6.7660142667591575e-06;0
1;100;sha3;6.10999995842576e-06;0
1;100;sha1;5.695007275789976e-06;0
1;100;blake2s;4.040999338030815e-06;0
10;10000;md5;3.395248600281775e-06;0
10;10000;sha256;2.7486077276989818e-06;0
10;10000;sha3;3.186481213197112e-06;0
10;10000;sha1;2.760539553128183e-06;0
10;10000;blake2s;1.713918917812407e-06;0
100;10000;md5;3.45714099239558e-06;0
100;10000;sha256;2.710560499690473e-06;0
100;10000;sha3;2.9990602051839232e-06;0
100;10000;sha1;2.5668897200375794e-06;0
100;10000;blake2s;1.8668593373149633e-06;0
1000;10000;md5;4.727730457670987e-06;0
1000;10000;sha256;2.8209998970851303e-06;0
1000;10000;sha3;4.733501002192497e-06;0
1000;10000;sha1;2.7115308213979006e-06;0
1000;10000;blake2s;3.9865683298558e-06;0
10000;10000;md5;1.725426884368062e-05;0
10000;10000;sha256;8.070830977521837e-06;0
10000;10000;sha3;2.740821149200201e-05;0
10000;10000;sha1;7.50034034717828e-06;0
10000;10000;blake2s;3.009395939297974e-05;0
100000;10000;md5;0.00012999581128824502;0
100000;10000;sha256;5.434401938691735e-05;0
100000;10000;sha3;0.00020253181823063642;0
100000;10000;sha1;5.0779739464633165e-05;0
100000;10000;blake2s;0.00022617682991549372;0
